ValueDate,TheValue
2016-03-02,17.0301
2016-03-01,17.0409
2016-02-29,17.6437
2016-02-26,17.1355
2016-02-25,17.2312
2016-02-24,16.7709
2016-02-23,16.8326
2016-02-22,17.0331
2016-02-19,17.1699
2016-02-18,17.2538
2016-02-17,17.6697
2016-02-16,17.5975
2016-02-15,17.6957
2016-02-12,17.8041
2016-02-11,18.0633
2016-02-10,17.9389
2016-02-09,18.1066
2016-02-08,17.7748
2016-02-05,17.8196
2016-02-04,17.7807
2016-02-03,17.6789
2016-02-02,17.4301
2016-02-01,17.3097
2016-01-29,17.5372
2016-01-28,17.7656
2016-01-27,17.8350
2016-01-26,18.0330
2016-01-25,17.8841
2016-01-22,17.8959
2016-01-21,18.2953
2016-01-20,18.5288
2016-01-19,18.0866
2016-01-18,18.1624
2016-01-15,18.0749
2016-01-14,18.0828
2016-01-13,17.8636
2016-01-12,18.3670
2016-01-11,18.0750
2016-01-08,17.4350
2016-01-07,17.2925
2016-01-06,16.9291
2016-01-05,16.8660
2016-01-04,17.1157
2015-12-31,17.0078
2015-12-30,16.8044
2015-12-29,16.7739
2015-12-28,16.7772
2015-12-24,16.6234
2015-12-23,16.5747
2015-12-22,16.4697
2015-12-21,16.3336
2015-12-18,16.4377
2015-12-17,16.2391
2015-12-15,16.5916
2015-12-14,16.5279
2015-12-11,16.8910
2015-12-10,16.4513
2015-12-09,15.9173
2015-12-08,15.8058
2015-12-07,15.6100
2015-12-04,15.6340
2015-12-03,15.1591
2015-12-02,15.2690
2015-12-01,15.2643
2015-11-30,15.2336
2015-11-27,15.2365
2015-11-26,15.0559
2015-11-25,15.0133
2015-11-24,15.0261
2015-11-23,14.9340
2015-11-20,14.9257
2015-11-19,15.0663
2015-11-18,15.2030
2015-11-17,15.2987
2015-11-16,15.4556
2015-11-13,15.4121
2015-11-12,15.2290
2015-11-11,15.2546
2015-11-10,15.3356
2015-11-09,15.2852
2015-11-06,15.1177
2015-11-05,15.1497
2015-11-04,15.1122
2015-11-03,15.1778
2015-11-02,15.2198
2015-10-30,15.1901
2015-10-29,15.0822
2015-10-28,15.1280
2015-10-27,15.1596
2015-10-26,15.1186
2015-10-23,14.8947
2015-10-22,15.3310
2015-10-21,15.2325
2015-10-20,15.0258
2015-10-19,14.8133
2015-10-16,14.9421
2015-10-15,15.0574
2015-10-14,15.3358
2015-10-13,15.3346
2015-10-12,15.1213
2015-10-09,15.1293
2015-10-08,15.2315
2015-10-07,15.0963
2015-10-06,15.3201
2015-10-05,15.3630
2015-10-02,15.5311
2015-10-01,15.3660
2015-09-30,15.5079
2015-09-29,15.7537
2015-09-28,15.5335
2015-09-25,15.3064
2015-09-23,15.2182
2015-09-22,15.1328
2015-09-21,15.1223
2015-09-18,15.0886
2015-09-17,15.1179
2015-09-16,15.1725
2015-09-15,15.1684
2015-09-14,15.3931
2015-09-11,15.4134
2015-09-10,15.5005
2015-09-09,15.2397
2015-09-08,15.5306
2015-09-07,15.4915
2015-09-04,15.2097
2015-09-03,15.1612
2015-09-02,15.2062
2015-09-01,15.0181
2015-08-31,14.9608
2015-08-28,14.9072
2015-08-27,14.7216
2015-08-26,15.0948
2015-08-25,15.1075
2015-08-24,15.1733
2015-08-21,14.5181
2015-08-20,14.4335
2015-08-19,14.2411
2015-08-18,14.3045
2015-08-17,14.2772
2015-08-14,14.3097
2015-08-13,14.2195
2015-08-12,14.2828
2015-08-11,14.0297
2015-08-07,13.9010
2015-08-06,13.8988
2015-08-05,13.8435
2015-08-04,13.8613
2015-08-03,13.9622
2015-07-31,13.9366
2015-07-30,13.8471
2015-07-29,13.9072
2015-07-28,13.9582
2015-07-27,13.9617
2015-07-24,13.6686
2015-07-23,13.6501
2015-07-22,13.5217
2015-07-21,13.4648
2015-07-20,13.4912
2015-07-17,13.4383
2015-07-16,13.5440
2015-07-15,13.6368
2015-07-14,13.7088
2015-07-13,13.7937
2015-07-10,13.7795
2015-07-09,13.7893
2015-07-08,13.8333
2015-07-07,13.7220
2015-07-06,13.7330
2015-07-03,13.6684
2015-07-02,13.6299
2015-07-01,13.5343
2015-06-30,13.6721
2015-06-29,13.5890
2015-06-26,13.5843
2015-06-25,13.5853
2015-06-24,13.6328
2015-06-23,13.6658
2015-06-22,13.7684
2015-06-19,13.8834
2015-06-18,13.8785
2015-06-17,14.0288
2015-06-15,13.9466
2015-06-12,13.9420
2015-06-11,13.9699
2015-06-10,14.0152
2015-06-09,14.1373
2015-06-08,14.0100
2015-06-05,14.0010
2015-06-04,14.0200
2015-06-03,13.6162
2015-06-02,13.4642
2015-06-01,13.3853
2015-05-29,13.3201
2015-05-28,13.1647
2015-05-27,13.1327
2015-05-26,13.0730
2015-05-25,13.1326
2015-05-22,13.1853
2015-05-21,13.1647
2015-05-20,13.2638
2015-05-19,13.2686
2015-05-18,13.4705
2015-05-15,13.4208
2015-05-14,13.5819
2015-05-13,13.4321
2015-05-12,13.6158
2015-05-11,13.3623
2015-05-08,13.4986
2015-05-07,13.7192
2015-05-06,13.4900
2015-05-05,13.3581
2015-05-04,13.4085
2015-04-30,13.2378
2015-04-29,13.0270
2015-04-28,13.0463
2015-04-24,13.2138
2015-04-23,13.1557
2015-04-22,13.0449
2015-04-21,12.9744
2015-04-20,12.9392
2015-04-17,12.9237
2015-04-16,12.8209
2015-04-15,12.7990
2015-04-14,12.8086
2015-04-13,12.8063
2015-04-10,12.7267
2015-04-09,12.7352
2015-04-08,12.8380
2015-04-07,12.8621
2015-04-02,12.9483
2015-04-01,12.9926
2015-03-31,13.1116
2015-03-30,13.1136
2015-03-27,13.0118
2015-03-26,13.0808
2015-03-25,12.9059
2015-03-24,13.0908
2015-03-23,13.0731
2015-03-20,13.0953
2015-03-19,13.0147
2015-03-18,13.1103
2015-03-17,13.1282
2015-03-16,13.0744
2015-03-13,13.0850
2015-03-12,12.9199
2015-03-11,13.0679
2015-03-10,13.1578
2015-03-09,13.1103
2015-03-06,12.9937
2015-03-05,13.0261
2015-03-04,13.1598
2015-03-03,13.1525
2015-03-02,13.1137
2015-02-27,12.8998
2015-02-26,12.9434
2015-02-25,12.9932
2015-02-24,13.1899
2015-02-23,13.2710
2015-02-20,13.1901
2015-02-19,13.2350
2015-02-18,13.3264
2015-02-17,13.2216
2015-02-16,13.2790
2015-02-13,13.4125
2015-02-12,13.3708
2015-02-11,13.3100
2015-02-10,13.0861
2015-02-09,13.0955
2015-02-06,12.9311
2015-02-05,12.9960
2015-02-04,13.0736
2015-02-03,13.0688
2015-02-02,13.1426
2015-01-30,13.0996
2015-01-29,13.0918
2015-01-28,13.0998
2015-01-27,12.9466
2015-01-26,12.8475
