Date,company_symbol,current_price,momentum,moving_average,moving_volatility,trading_range,target_return,exp_market_change,reporate,tbillrate,platinum,oil,gold,Revenue,Cost of sales,Gross profit,Operating profit,Net profit,Headline earnings,Shares in issue,Non-current assets,Current assets,Non-current liabilities,Current liabilities,Cash from operations,Cash from investing,Cash from financing,Change in cash,Full year,Half year,roe,cr,doe,npm
2011-09-07,SNH,2200.0,-0.06303236797274275,2239.5333333333333,71.1082885504097,68.51666666666667,0.07363636363636372,1.2603078777203487,5.5,5.4899999999999975,1744.333333333333,85.61000000000001,1775.1309523809525,43040.0,-36543.0,6497.0,5360.0,5344.0,5136.0,1454000000.0,74749.0,26170.0,35448.0,24641.0,5676.0,-15100.0,10307.0,883.0,1,0,0.13088415380847415,1.062051053122844,1.471687484692628,0.1241635687732342
2012-03-07,SNH,2653.0,0.07408906882591093,2485.7833333333333,126.30969361285062,56.96666666666667,-0.02940067847719563,-0.3825073746391979,5.5,5.542857142857144,1658.666666666667,106.15428571428569,1675.9642857142858,37645.0,-33170.0,4475.0,3694.0,3033.0,2907.0,1658000000.0,82041.0,29771.0,37228.0,28448.0,2412.0,-3415.0,570.0,-433.0,0,1,0.06574041962892319,1.046505905511811,1.42353043176695,0.08056846858812591
2012-09-05,SNH,2602.0,0.014424951267056531,2496.733333333333,63.9557226781501,54.05,0.04688700999231354,-0.3818066711636589,5.0,4.938333333333335,1630.611111111111,94.70444444444445,1744.111111111111,80434.0,-72423.0,8011.0,7915.0,6043.0,5655.0,1703000000.0,90521.0,42541.0,44639.0,34786.0,7829.0,-9403.0,3038.0,1464.0,1,0,0.11266476499431363,1.2229345138848962,1.4807875160803177,0.07512992018300718
2013-03-06,SNH,2567.0,-0.07160940325497288,2726.233333333333,72.61049246376292,58.51666666666666,-0.026100506427736647,0.3436734018144608,5.0,5.043157894736842,1680.2631578947367,92.98368421052632,1590.078947368421,57292.0,-52275.0,5017.0,5044.0,3647.0,3241.0,1781000000.0,98494.0,49169.0,49802.0,38977.0,1033.0,-4103.0,2901.0,-169.0,0,1,0.06193533048026629,1.2614875439361675,1.507693091501936,0.0636563569084689
2013-09-11,SNH,3213.0,0.34266610948600085,2650.516666666667,189.46029427654202,83.93333333333334,0.233115468409586,-0.3561514403290412,5.0,5.060833333333333,1463.0,107.21833333333336,1349.6041666666667,115486.0,-101470.0,14016.0,10965.0,7940.0,7300.0,1803000000.0,115206.0,49433.0,58254.0,39766.0,7230.0,-8656.0,1230.0,-196.0,1,0,0.11918521743046279,1.2430971181411257,1.4713520166919347,0.06875292243215628
2014-03-05,SNH,5175.0,0.3061585058051489,4602.7,263.4787676777443,124.78333333333332,0.0641545893719806,-0.4172635857231938,5.5,5.727142857142859,1460.428571428571,100.16142857142859,1339.875,67423.0,-59644.0,7779.0,6315.0,4719.0,4611.0,1851000000.0,134490.0,59180.0,63283.0,48239.0,1787.0,-4297.0,3335.0,825.0,0,1,0.05744509908944831,1.2268081842492589,1.3575741344889711,0.06999095264227341
2014-09-10,SNH,5262.0,-0.03200883002207505,5368.316666666667,219.26475689417458,122.46666666666668,0.12124667426833913,0.25418596608749777,5.75,5.999999999999997,1362.9,93.046,1239.9,117364.0,-102726.0,14638.0,14122.0,9863.0,10090.0,1977000000.0,136620.0,65701.0,69317.0,45228.0,15680.0,-16371.0,6661.0,5970.0,1,0,0.11236556689755742,1.4526620677456443,1.3049694677360555,0.0840376946934324
2015-03-04,SNH,6620.0,0.12203389830508475,6167.733333333334,373.06194635644937,123.2,0.12658610271903314,-0.3930134261220137,5.75,5.798571428571428,1144.8095238095239,47.86619047619048,1180.7023809523812,64615.0,-56692.0,7923.0,6874.0,4775.0,4946.0,2431000000.0,136752.0,70817.0,59019.0,42431.0,1045.0,-5736.0,7373.0,2682.0,0,1,0.044996654698970025,1.6689920105583183,0.9560022239184311,0.07389924940029405
2015-09-09,SNH,8158.0,0.13242642976124375,7713.3,198.50545823535637,183.6,0.01740622701642569,1.4238794214688701,6.0,6.2431578947368385,972.421052631579,45.514210526315786,1124.7342105263156,134868.0,-117331.0,17537.0,17828.0,13155.0,13383.0,2737000000.0,218764.0,94776.0,74830.0,56540.0,20286.0,-21124.0,23630.0,22792.0,1,0,0.07221276829335237,1.6762645914396888,0.7211395948838997,0.09753981670967168
2016-03-01,SNH,8482.0,0.021927710843373496,7688.916666666668,309.81805987717496,238.95,0.0873614713510964,0.513511317519591,6.828947368421053,7.033684210526315,971.2631578947368,37.76315789473685,1247.0894736842106,113215.26,-71815.65,41399.61,13552.0356,10763.8986,-10645.614,3700000000.0,266917.6488,120058.869,99426.6552,81633.2718,8685.4692,-7097.076,4714.4862,6302.8794,0,1,0.052273100279008694,1.4707099979300353,0.8792877072049892,0.09507462686567165
2016-09-08,SNH,8516.0,-0.0370872908186341,8714.966666666667,343.5146342659836,220.2333333333333,-0.2308595584781588,0.08036087168175145,7.0,7.291999999999999,1048.4,45.075,1326.4699999999998,211514.0112,-134255.2752,77258.73599999999,23663.5248,18998.8464,18917.8624,3717000000.0,269385.1776,131339.8512,114187.44,74715.8384,12973.6368,-23955.0672,25704.3216,14722.8912,1,0,0.0896926135494724,1.7578582267504879,0.8918030279859308,0.08982311049850676
2017-01-31,SNH,6480.0,-0.10743801652892562,6943.716666666666,261.1363752854579,227.91666666666663,0.052932098765432034,0.13210689904819853,7.0,7.475789473684213,971.3684210526317,52.5978947368421,1191.792105263158,16439.0,-10486.0,5953.0,1793.0,1442.0,1437.0,3726000000.0,23902.0,8279.0,9997.0,6217.0,1475.0,-4185.0,2898.0,188.0,1,0,0.09031126698816308,1.3316712240630528,1.0154694056491513,0.0877182310359511
2010-02-25,BTI,26100.0,0.15799281245840546,24651.266666666666,896.4954718644452,408.05,-0.14275862068965514,-0.1533402075251062,7.0,7.076315789473684,1525.3157894736844,76.45263157894738,1095.6052631578948,477885.1227,-121346.4102,356538.7125,48137.1279,34697.2324,31844.9227,2025364622.0,217245.0532,95147.4174,138342.8894,81179.3164,45519.5762,-6913.6231,-39967.5495,-2828.8339,1,0,0.3736097067745197,1.1720647773279353,2.363751263902932,0.07260580158671677
2010-07-29,BTI,25261.0,0.06442777684139557,24198.78333333333,1203.0795385130314,426.91666666666674,0.0490479395115,-0.08090677709197264,6.5,6.4761904761904745,1530.047619047619,76.38285714285712,1195.404761904762,242375.0004,-59698.1632,182676.8372,25992.0492,18941.806,17453.93,1982000000.0,214231.2536,91092.3468,119190.3128,86514.2668,17854.512,-1384.8692,-23153.6396,-6947.2364,0,1,0.19014246323529413,1.0529170525201748,2.0649126838235294,0.0781508240071776
2011-02-25,BTI,27575.0,0.06467181467181468,26613.21666666667,1008.0599607479892,443.4333333333333,0.1211242067089755,-0.012262817474075843,5.5,5.533157894736841,1828.157894736842,89.74315789473684,1369.828947368421,496530.6955,-121961.6612,374569.0343,48888.8278,35551.394,32596.3259,1994000000.0,217418.2863,98015.4197,120772.8407,86557.4545,50836.22900000001,-5106.2671,-43748.5944,2309.7084,1,0,0.32886468370339333,1.1323741007194243,1.917888563049853,0.071599589556493
2011-07-28,BTI,31245.0,0.07897644864976862,30225.43333333333,680.1508897061733,397.23333333333335,0.18566170587293973,-0.39373783342491575,5.5,5.487999999999999,1765.75,97.3405,1572.19,244799.8744,-54133.7844,190666.09,29572.4754,22044.7364,20550.178,1990000000.0,214029.5544,91574.6702,115366.7212,90871.3486,16648.941000000003,-670.3534,-23583.2524,-7538.7284,0,1,0.22185357221853583,1.0077397508767687,2.0755363857553646,0.09005207398096607
2012-02-24,BTI,37701.0,0.026436155731010075,37601.88333333333,879.4581361702902,688.2666666666668,0.058327365321874776,-0.4178606759294568,5.5,5.502500000000002,1662.9,102.26249999999996,1743.775,551105.2778,-131339.0112,419766.2666,56409.3406,40326.525,36980.917,1970000000.0,222530.7264,101503.35699999999,129020.9828,93760.6642,54557.3076,-8507.4032,-48355.9842,-2306.0798,1,0,0.3982770828416332,1.0825793296801325,2.2002596176540004,0.0731739045595473
2012-07-26,BTI,43342.0,0.07487042134761797,41397.55,1388.1373133975276,637.1666666666666,0.02581791334040884,-0.22941609312283834,5.309523809523808,5.374285714285714,1425.5238095238094,87.93142857142858,1591.6309523809525,286255.3981,-63880.5846,222374.8135,35189.546,26790.2894,24773.9541,1961000000.0,232777.5625,113133.1061,151173.7759,98068.3844,15180.3078,-205.4864,-21948.5161,-6973.6947,0,1,0.27713564501129273,1.1536144578313254,2.578318055001993,0.09358876575889453
2013-02-28,BTI,46509.0,-0.0012240690632650429,45304.95,1214.2927832933815,676.45,0.16373175084392266,0.29337733895433377,5.0,5.040000000000002,1675.6842105263156,95.32157894736841,1631.7105263157896,625533.5279999999,-138492.294,487041.234,73800.738,56209.653,52377.7965,1949000000.0,247379.7465,125264.88900000001,155537.919,111028.383,60368.7855,-5454.6,-53918.721,995.4645,1,0,0.5298881604319321,1.1282240235814296,2.5129193983802547,0.08985873735612139
2013-08-01,BTI,54099.0,0.046382081584495465,53259.1,1223.3546639864758,1052.4666666666667,0.007708090722564177,0.2092676625411425,5.0,5.092142857142859,1499.142857142857,106.62857142857143,1346.5714285714287,341287.9799,-73935.4539,267352.526,42208.0169,32900.2996,30674.868,1922000000.0,279201.4456,139826.2733,184304.8319,125466.2248,19833.4073,-1263.0828,-25652.6102,-7262.7261,0,1,0.3011285439031103,1.1144534995206137,2.8352601156069355,0.09640040533991276
