ValueDate,TheValue
2016-11-28,0.4981
2016-11-25,0.4918
2016-11-24,0.4867
2016-11-23,0.4889
2016-11-22,0.4870
2016-11-21,0.4801
2016-11-18,0.4737
2016-11-17,0.4806
2016-11-16,0.4831
2016-11-15,0.4832
2016-11-14,0.4733
2016-11-11,0.4787
2016-11-10,0.5079
2016-11-09,0.5012
2016-11-08,0.5053
2016-11-07,0.5006
2016-11-04,0.5005
2016-11-03,0.5017
2016-11-02,0.5013
2016-11-01,0.5017
2016-10-31,0.4928
2016-10-28,0.4864
2016-10-27,0.4880
2016-10-26,0.4932
2016-10-25,0.4890
2016-10-24,0.4878
2016-10-21,0.4814
2016-10-20,0.4841
2016-10-19,0.4848
2016-10-18,0.4801
2016-10-17,0.4696
2016-10-14,0.4721
2016-10-13,0.4687
2016-10-12,0.4658
2016-10-11,0.4747
2016-10-10,0.4863
2016-10-07,0.4793
2016-10-06,0.4851
2016-10-05,0.4855
2016-10-04,0.4900
2016-10-03,0.4893
2016-09-30,0.4775
2016-09-29,0.4882
2016-09-28,0.4957
2016-09-27,0.4916
2016-09-26,0.4870
2016-09-23,0.4906
2016-09-22,0.4967
2016-09-21,0.4842
2016-09-20,0.4795
2016-09-19,0.4725
2016-09-16,0.4723
2016-09-15,0.4649
2016-09-14,0.4657
2016-09-13,0.4679
2016-09-12,0.4594
2016-09-09,0.4681
2016-09-08,0.4769
2016-09-07,0.4754
2016-09-06,0.4681
2016-09-05,0.4639
2016-09-02,0.4555
2016-09-01,0.4560
2016-08-31,0.4627
2016-08-30,0.4640
2016-08-29,0.4630
2016-08-26,0.4702
2016-08-25,0.4704
2016-08-24,0.4741
2016-08-23,0.4939
2016-08-22,0.4888
2016-08-19,0.4922
2016-08-18,0.4996
2016-08-17,0.4945
2016-08-16,0.4992
2016-08-15,0.4950
2016-08-12,0.4964
2016-08-11,0.4976
2016-08-10,0.4963
2016-08-08,0.4882
2016-08-05,0.4853
2016-08-04,0.4790
2016-08-02,0.4748
