ValueDate,TheValue
2015-06-10,12.3651
2015-06-09,12.5159
2015-06-08,12.5740
2015-06-05,12.4304
2015-06-04,12.3726
2015-06-03,12.2206
2015-06-02,12.2827
2015-06-01,12.2621
2015-05-29,12.1545
2015-05-28,12.0490
2015-05-27,12.0279
2015-05-26,11.9952
2015-05-25,11.9676
2015-05-22,11.8100
2015-05-21,11.7952
2015-05-20,11.9488
2015-05-19,11.8639
2015-05-18,11.8381
2015-05-15,11.7938
2015-05-14,11.9045
2015-05-13,11.9679
2015-05-12,12.1083
2015-05-11,11.9702
2015-05-08,12.0174
2015-05-07,12.0879
2015-05-06,12.0040
2015-05-05,12.0664
2015-05-04,12.0282
2015-04-30,11.7889
2015-04-29,11.8390
2015-04-28,12.0060
2015-04-24,12.1261
2015-04-23,12.2750
2015-04-22,12.1286
2015-04-21,12.1563
2015-04-20,12.0030
2015-04-17,11.9492
2015-04-16,12.0520
2015-04-15,12.0940
2015-04-14,12.1300
2015-04-13,12.1278
2015-04-10,11.9798
2015-04-09,11.8572
2015-04-08,11.8252
2015-04-07,11.8365
2015-04-02,11.9615
2015-04-01,12.1024
2015-03-31,12.2020
2015-03-30,12.0841
2015-03-27,12.0268
2015-03-26,11.8448
2015-03-25,11.7766
2015-03-24,11.9197
2015-03-23,12.1328
2015-03-20,12.2632
2015-03-19,12.2198
2015-03-18,12.3700
2015-03-17,12.3909
2015-03-16,12.4175
2015-03-13,12.3327
2015-03-12,12.1668
2015-03-11,12.2646
2015-03-10,12.2063
2015-03-09,12.0427
2015-03-06,11.7979
2015-03-05,11.7980
2015-03-04,11.7877
2015-03-03,11.7527
2015-03-02,11.7144
2015-02-27,11.5039
2015-02-26,11.3924
2015-02-25,11.4346
2015-02-24,11.6570
2015-02-23,11.7003
2015-02-20,11.6422
2015-02-19,11.5691
2015-02-18,11.7083
2015-02-17,11.6562
2015-02-16,11.6289
2015-02-13,11.7355
2015-02-12,11.7872
2015-02-11,11.7580
2015-02-10,11.5546
2015-02-09,11.5354
2015-02-06,11.2955
2015-02-05,11.4341
2015-02-04,11.4170
2015-02-03,11.5321
2015-02-02,11.6065
2015-01-30,11.5517
2015-01-29,11.6109
2015-01-28,11.5498
2015-01-27,11.4698
2015-01-26,11.4373
2015-01-23,11.3966
2015-01-22,11.5398
2015-01-21,11.5698
2015-01-20,11.6400
2015-01-19,11.5660
2015-01-16,11.5172
2015-01-15,11.4487
2015-01-14,11.5953
2015-01-13,11.4898
2015-01-12,11.5012
2015-01-09,11.5898
2015-01-08,11.6426
2015-01-07,11.7248
2015-01-06,11.7264
2015-01-05,11.7071
2015-01-02,11.6219
2014-12-31,11.5719
2014-12-30,11.6220
2014-12-29,11.6049
2014-12-24,11.6497
2014-12-23,11.5662
2014-12-22,11.5905
2014-12-19,11.6101
2014-12-18,11.5622
2014-12-17,11.7415
2014-12-15,11.5652
2014-12-12,11.5966
2014-12-11,11.5047
2014-12-10,11.4868
2014-12-09,11.5024
2014-12-08,11.4246
2014-12-05,11.2156
2014-12-04,11.1851
2014-12-03,11.1562
2014-12-02,11.0345
